driver,fp1_best_lap,fp2_best_lap,fp3_best_lap,fp1_long_run,fp2_long_run,fp3_long_run,fp1_deg,fp2_deg,fp3_deg,target_qualifying_time
ALB,72.314,71.918,71.668,73.291,73.461,77.56,0.42,-0.089,1.031,70.732
ALO,73.015,71.89,72.101,74.85,74.103,75.096,-2.916,4.567,0.385,70.924
ANT,72.765,72.002,72.013,72.968,73.837,72.252,7.743,2.054,-0.678,71.88
BEA,73.329,72.259,72.251,73.526,73.252,75.337,-0.004,4.454,32.396,71.979
BOR,73.47,72.234,72.601,74.746,73.666,75.747,-0.513,0.968,0.5,71.902
COL,73.82,73.415,72.851,74.66,73.945,74.313,-1.955,-1.213,0.149,72.597
GAS,72.669,72.404,72.194,73.849,72.907,86.296,1.676,5.217,-0.158,71.994
HAD,73.187,71.842,72.271,73.426,72.327,72.909,1.523,-0.268,0.302,70.923
HAM,72.69,71.46,71.516,74.326,72.818,79.737,4.507,-3.548,0.295,70.382
HUL,72.979,72.262,72.125,74.027,73.579,75.877,10.9,13.753,0.358,71.596
LAW,73.429,71.823,71.814,73.56,73.316,72.716,-1.293,4.053,0.131,71.129
LEC,71.964,71.355,70.953,72.912,72.028,71.027,-4.302,-1.86,0.776,70.063
NOR,72.29,71.677,71.247,72.715,72.494,71.494,-5.632,14.395,7.503,69.954
OCO,73.394,72.541,72.499,74.162,73.812,73.188,-4.639,3.576,0.322,70.942
PIA,72.342,71.393,71.398,74.13,72.066,71.794,6.654,16.563,-1.352,70.129
RUS,72.482,72.092,72.066,75.111,72.957,73.838,1.278,3.299,0.205,71.758
SAI,72.534,72.151,71.893,73.027,73.691,73.578,-1.105,5.689,0.133,71.362
STR,75.635,72.512,72.202,77.362,73.438,72.133,-3.694,4.782,-0.458,72.563
TSU,73.232,72.072,71.952,74.709,73.649,73.774,0.425,-2.92,-0.918,71.415
VER,72.127,72.068,71.233,74.652,73.818,74.08,1.11,-2.547,-5.25,70.669
